1364	7 (0 1 2 3 4 5 6) 
Matudaea_trinervia	1000000
Medusandra_mpomiana	1000000
Medusandra_richardsiana	1000000
Meionectes_brownii	1000000
Meionectes_tenuifolia	0001000
Meterostachys_sikokianus	1000000
Micranthes_apetala	1000000
Micranthes_aprica	1000000
Micranthes_atrata	0001000
Micranthes_bryophora	1000000
Micranthes_californica	1000000
Micranthes_calycina	0001000
Micranthes_careyana	1000000
Micranthes_caroliniana	0000001
Micranthes_clavistaminea	0001000
Micranthes_clusii	0001000
Micranthes_davidii	1000000
Micranthes_eriophora	0001000
Micranthes_ferruginea	1000000
Micranthes_foliolosa	1000000
Micranthes_fusca	1000000
Micranthes_gageana	0000001
Micranthes_hieraciifolia	0100000
Micranthes_howellii	0100000
Micranthes_integrifolia	0100000
Micranthes_japonica	0100000
Micranthes_laciniata	1000000
Micranthes_lumpuensis	1000000
Micranthes_lyallii	0000010
Micranthes_manchuriensis	0001000
Micranthes_melanocentra	0010000
Micranthes_merkii	0000010
Micranthes_micranthidifolia	0010000
Micranthes_nelsoniana	0000010
Micranthes_nidifica	0000001
Micranthes_nivalis	0000010
Micranthes_occidentalis	0000010
Micranthes_odontoloma	0010000
Micranthes_oregana	0000010
Micranthes_pallida	0000010
Micranthes_pensylvanica	0010000
Micranthes_petiolaris	0000010
Micranthes_razshivinii	0000010
Micranthes_redofskyi	0001000
Micranthes_reflexa	0100000
Micranthes_rhomboidea	1000000
Micranthes_rufidula	0000010
Micranthes_sachalinensis	0000001
Micranthes_spicata	0000010
Micranthes_stellaris	0000010
Micranthes_subapetala	0000010
Micranthes_tempestiva	0000001
Micranthes_tenuis	0001000
Micranthes_texana	0000010
Micranthes_tolmiei	0000001
Micranthes_virginiensis	0000001
Mitella_breweri	0000010
Mitella_caulescens	0010000
Mitella_diphylla	0000010
Mitella_diversifolia	1000000
Mitella_formosana	0000010
Mitella_furusei	0001000
Mitella_japonica	0000010
Mitella_koshiensis	1000000
Mitella_nuda	0000001
Mitella_ovalis	1000000
Mitella_pauciflora	0000001
Mitella_pentandra	0000010
Mitella_stauropetala	0001000
